planName,clientType,registrationMode,duration,netSales,netProfit,age,accident
M,Basic,Offline,186,-29,9.57,81,0
M,Basic,Offline,186,-29,9.57,71,0
Q,Basic,Online,65,-49.5,29.7,32,0
Q,Basic,Online,60,-39.6,23.76,32,0
Q,Basic,Online,79,-19.8,11.88,41,0
Z,Premium,Online,66,-121,42.35,44,0
Q,Basic,Online,63,-108.9,65.34,29,0
Q,Basic,Online,57,-19.8,11.88,44,0
Q,Basic,Online,186,-99,59.4,37,0
I,Premium,Online,33,-26,9.1,118,0
I,Premium,Online,1,-18,6.3,47,0
P,Basic,Online,53,-130,49.4,48,0
Q,Basic,Online,5,-39.6,23.76,64,0
B,Basic,Online,39,-25,0,36,0
Q,Basic,Online,6,-19.8,11.88,53,0
Q,Basic,Online,48,-79.2,47.52,43,0
Q,Basic,Online,11,-29.7,17.82,58,0
I,Premium,Online,3,-18,6.3,47,0
Q,Basic,Online,14,-69.3,41.58,37,0
J,Premium,Online,12,46.15,11.54,44,0
J,Premium,Online,7,17.55,4.39,25,0
J,Premium,Online,12,94,23.5,34,1
R,Premium,Online,190,294.75,73.69,26,0
E,Premium,Online,364,389,97.25,30,0
Q,Basic,Online,29,9.9,5.94,33,0
Q,Basic,Online,28,9.9,5.94,33,0
Q,Basic,Online,153,69.3,41.58,35,0
Q,Basic,Online,28,19.8,11.88,31,0
Q,Basic,Online,54,0,41.58,31,0
Q,Basic,Online,24,89.1,53.46,33,0
B,Basic,Online,9,25,0,36,0
B,Basic,Online,12,24,0,36,0
B,Basic,Online,45,20,0,36,0
B,Basic,Online,35,27,0,36,0
B,Basic,Online,28,20,0,44,0
B,Basic,Online,24,43,0,36,0
B,Basic,Online,8,78,0,36,0
B,Basic,Online,183,20,0,36,0
B,Basic,Online,36,22,0,20,0
B,Basic,Online,3,27,0,46,0
B,Basic,Online,38,41,0,36,0
B,Basic,Online,36,95,0,49,0
B,Basic,Online,4,20,0,50,0
B,Basic,Online,3,20,0,36,0
B,Basic,Online,13,35,0,36,0
B,Basic,Online,11,43,0,36,0
B,Basic,Online,27,20,0,62,0
B,Basic,Online,16,47,0,36,0
B,Basic,Online,12,29,0,36,0
B,Basic,Online,39,20,0,46,0
B,Basic,Online,19,20,0,46,0
B,Basic,Online,18,30,0,36,0
B,Basic,Online,189,20,0,46,0
B,Basic,Online,105,44,0,25,0
B,Basic,Online,23,57,0,36,0
B,Basic,Online,57,37,0,36,0
B,Basic,Online,29,46,0,36,0
K,Basic,Online,1,10,0,36,0
K,Basic,Online,15,16,0,36,0
K,Basic,Online,16,28,0,65,0
K,Basic,Online,180,21,0,36,0
K,Basic,Online,90,37,0,36,0
K,Basic,Online,91,18,0,36,0
K,Basic,Online,2,14,0,31,0
K,Basic,Online,17,19,0,36,0
